u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
IV1DNDIY,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) D560784WIN9S Laptop,60990,74619,18% off,2,1,3.5,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 YEAR']",https://www.flipkart.com/dell-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-d560784win9s-laptop/p/itmd3a084078e240?pid=COMGFKWMFWZX2WHY&lid=LSTCOMGFKWMFWZX2WHYL1SGJT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_872&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMGFKWMFWZX2WHY.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:16.543698+05:30
I7YUH418,acer Swift 7 Core i5 7th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF713-51 Thin and Light Laptop,86867,99999,13% off,39,3,4.4,"['Intel Core i5 Processor (7th Gen)', '8 GB DDR3 RAM', '64 bit Windows 10 Operating System', '256 GB SSD', '33.78 cm (13.3 inch) Display', 'Acer Care Center, Acer Configuration Manager, Acer Portal, Acer Quick Access, Microsoft Office Home and Student 2016', '1 Year International Travelers Warranty (ITW)']",https://www.flipkart.com/acer-swift-7-core-i5-7th-gen-8-gb-256-gb-ssd-windows-10-home-sf713-51-thin-light-laptop/p/itmf8yqrhzfypwuf?pid=COMF8YQR8R2N2YF8&lid=LSTCOMF8YQR8R2N2YF8SDWAKG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_873&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMF8YQR8R2N2YF8.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:16.728335+05:30
BS3LOSVL,Lenovo Ideapad 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) IdeaPad 3 15ITL6 Thin and Light ...,57500,84190,31% off,0,0,0,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office Home and Student 2021', '2 Years Warranty']",https://www.flipkart.com/lenovo-ideapad-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm5a9fbaf0f9ee9?pid=COMGAM8DBX2NHBQR&lid=LSTCOMGAM8DBX2NHBQRU09CM0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_874&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMGAM8DBX2NHBQR.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:16.886817+05:30
SIQXC447,acer Aspire 5 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) A515-45 Thin and Light Lapto...,54990,65990,16% off,9,3,4.6,"['AMD Ryzen 5 Hexa Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Acer Care Center, Quick Access, Acer Product Registration', '1 Year International Travelers Warranty (ITW)']",https://www.flipkart.com/acer-aspire-5-ryzen-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-a515-45-thin-light-laptop/p/itm16666d7c2b0e7?pid=COMG8ZYE6WST2GCU&lid=LSTCOMG8ZYE6WST2GCUEBJACV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_875&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMG8ZYE6WST2GCU.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:17.561314+05:30
8MZSJ7N6,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-du3563TU Thin and Light Laptop,47000,49590,5% off,1269,108,4.3,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office Home & Student 2019', '1 Year Onsite Warranty']",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-du3563tu-thin-light-laptop/p/itmbb016707c9145?pid=COMG89QWQUMKHFAF&lid=LSTCOMG89QWQUMKHFAFXPG8CD&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_878&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMG89QWQUMKHFAF.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:18.693809+05:30
167JR6QQ,DELL Vostro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) VOSTRO 3400 Notebook,59990,70000,14% off,8,1,4.1,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']",https://www.flipkart.com/dell-vostro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-3400-notebook/p/itmafd6af8bdd111?pid=COMGC3HZSD5563YC&lid=LSTCOMGC3HZSD5563YCXKXHYF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_880&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMGC3HZSD5563YC.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:19.138551+05:30
D2AQFUQO,DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5518 Thin and Light Laptop,71900,81800,12% off,99,13,4.2,"['Intel Core i5 Processor (11th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '38.86 cm (15.3 Inch) Display', 'Microsoft Office Home and Student 2019', '1 Year Onsite Warranty']",https://www.flipkart.com/dell-inspiron-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-5518-thin-light-laptop/p/itm72422fec8ff0a?pid=COMG43Z5FZRHVFQT&lid=LSTCOMG43Z5FZRHVFQTFOAPDT&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_883&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMG43Z5FZRHVFQT.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:19.873735+05:30
TGALWKNL,HP Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15s-fq2626TU Thin and Light Laptop,43900,48400,9% off,79,11,4.4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '256 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart', '1 Year Onsite Warranty']",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15s-fq2626tu-thin-light-laptop/p/itmb6caa4658ef88?pid=COMGBH9JHSDZJV9R&lid=LSTCOMGBH9JHSDZJV9R9ZQECP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_884&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMGBH9JHSDZJV9R.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:20.072514+05:30
89LBTLVC,Lenovo Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) IdeaPad Flex 5 14ALC7 Laptop,68999,97890,29% off,0,0,0,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Touchscreen Display', 'OFFICE H&S 2021', '1 Year']",https://www.flipkart.com/lenovo-ryzen-5-hexa-core-16-gb-512-gb-ssd-windows-11-home-ideapad-flex-14alc7-laptop/p/itm355b11ca82f85?pid=COMGHPY3GWDBV42P&lid=LSTCOMGHPY3GWDBV42PZ0BEWI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_885&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMGHPY3GWDBV42P.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:20.745342+05:30
V85E5JQH,MSI GS Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1060) GS65...,149990,169990,11% off,10,3,4.1,"['512 GB SSD for Reduced Boot Up Time and in Game Loading', 'Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)', 'NVIDIA Geforce GTX 1060 for Desktop Level Performance', 'Per-Key RGB Gaming Keyboard Helps in Customizing Each Key', 'Intel Core i7 Processor (8th Gen)', '16 GB DDR4 RAM', '64 bit Windows 10 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'SHIFT, Xsplit Gamecaster, Nahimic 3, Cooler Boost Trinity, Dragon Center 2.0, True Color 2.0', '2 Years Carry In Warranty']",https://www.flipkart.com/msi-gs-core-i7-8th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-gtx-1060-gs65-8re-084in-gaming-laptop/p/itmf3zquyzgf6hry?pid=COMF3EN4K9SCFQKU&lid=LSTCOMF3EN4K9SCFQKUTS0EHZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_37_886&otracker=search&otracker1=search&fm=organic&iid=a1efa217-c652-475d-a6cd-b132c6867a11.COMF3EN4K9SCFQKU.SEARCH&ppt=None&ppn=None&ssid=2dgxm3bdkg0000001667495004283&qH=c06ea84a1e3dc3c6,2022-11-03 22:33:21.511695+05:30
